Agent,Concept,Problem,Knowledge,Type,Result,Action,When-Part,Where-Part,How-Part,Intermediate,Seen,AL Ans,Correct Ans,Time
SPPP-F-1,1,[1][args:6-3],Fact,study,NA,Train,None,{('answer'&'arg_1_concept_1'&'arg_2_concept_1')},Inverse(Pow(?.v&?.v)):(arg_1_concept_1&arg_2_concept_1)->answer,False,True,None,612,12:15:55
SPPP-F-1,2,[2][args:240-5-72-24],Fact,study,NA,Train,None,{('answer'&)},16.0:()->answer,False,True,None,16,12:15:55
SPPP-F-1,3,[3][args:98-2-7],Fact,study,NA,Train,None,{('answer'&'arg_3_concept_3')},?.v:(arg_3_concept_3)->answer,False,True,None,7,12:15:55
SPPP-F-1,4,[4][args:4-8],Fact,study,NA,Train,None,{('answer'&)},4098.0:()->answer,False,True,None,4098,12:15:56
SPPP-F-1,5,[5][args:9-121-400],Fact,study,NA,Train,None,{('answer'&'arg_2_concept_5'&'arg_1_concept_5')},Inverse(Divide(?.v&?.v)):(arg_2_concept_5&arg_1_concept_5)->answer,False,True,None,31,12:15:56
SPPP-F-1,1,[1][args:6-3],Fact,practice,CORRECT,Request,...,{('answer'&'arg_1_concept_1'&'arg_2_concept_1')},Inverse(Pow(?.v&?.v)):(arg_1_concept_1&arg_2_concept_1)->answer (v: None),False,True,612,612,12:15:56
SPPP-F-1,2,[2][args:240-5-72-24],Fact,practice,CORRECT,Request,...,{('answer'&)},16.0:()->answer (v: None),False,True,16.0,16,12:15:57
SPPP-F-1,3,[3][args:98-2-7],Fact,practice,CORRECT,Request,...,{('answer'&'arg_3_concept_3')},?.v:(arg_3_concept_3)->answer (v: None),False,True,7,7,12:15:58
SPPP-F-1,4,[4][args:4-8],Fact,practice,CORRECT,Request,...,{('answer'&)},4098.0:()->answer (v: None),False,True,4098.0,4098,12:15:58
SPPP-F-1,5,[5][args:9-121-400],Fact,practice,CORRECT,Request,...,{('answer'&'arg_2_concept_5'&'arg_1_concept_5')},Inverse(Divide(?.v&?.v)):(arg_2_concept_5&arg_1_concept_5)->answer (v: None),False,True,31,31,12:15:59
